Traffic Volume (MB/s)_A,Latency (ms)_A,Bandwidth Used (MB/s)_A,Log Text_A,Traffic Volume (MB/s)_B,Latency (ms)_B,Bandwidth Used (MB/s)_B,Log Text_B,Month,Hour,Date,Traffic Volume (MB/s)_A_mean,Traffic Volume (MB/s)_A_std,Latency (ms)_A_mean,Latency (ms)_A_std,Bandwidth Used (MB/s)_A_mean,Bandwidth Used (MB/s)_A_std,Traffic Volume (MB/s)_B_mean,Traffic Volume (MB/s)_B_std,Latency (ms)_B_mean,Latency (ms)_B_std,Bandwidth Used (MB/s)_B_mean,Bandwidth Used (MB/s)_B_std
83.1853159,53.07278242,56.65075248,0,25.43663008,45.8193596,22.82806196,2,1,4,1,67.741978988,20.542235212617044,31.908823489999996,16.683816344128175,68.83180719,27.24404893431077,38.9383571596,21.54856360075226,50.761048362000004,2.842038742995844,16.968295223600002,10.28996486384723
57.49363865,28.83236732,87.8196492,3,76.12245427,13.50682786,95.84651656,0,1,5,1,67.47543533000001,20.694918734405125,34.265666777999996,14.783862417698625,69.99723323999999,28.060183223374114,43.2732705816,26.951421846647683,43.18215413,16.82689493247425,29.816206945599998,37.43552017900957
91.06658116,40.35071521,89.89687347,0,87.94818578,30.57208056,29.14445197,0,1,6,1,66.875653542,19.753677528685465,36.728007806,14.510266158063839,78.304369096,26.135849397797507,59.295885727999995,24.29959054981496,38.671510472,16.515113303764984,34.0212394916,35.52096637041003
55.83359205,46.1403674,51.71008241,0,71.67621009,30.74805603,20.75850406,0,1,7,1,66.121268982,20.168402444786835,36.89632921,14.638855393081666,79.31587287200001,24.660870241550615,63.87024304199999,23.98154671523679,34.459381956,14.937211542733806,36.702468348000004,33.450270075888
77.60851542,15.50705858,121.9112502,0,54.02604262,28.05167382,23.37006538,0,1,8,1,73.037528636,15.70434805555483,36.780658186,14.845236135443255,81.597721552,28.497329425885862,63.04190456799999,24.297208132562133,29.739599574,11.474108488018805,38.389519985999996,32.269852234960084
82.08596988,40.13620624,104.8629623,0,9.980600973,29.60953539,28.20711019,2,1,9,1,72.817659432,15.533521668124846,34.19334295,12.184821846283851,91.240163516,25.992440553300185,59.950698746600004,30.475337548909216,26.497634732,7.340422610342205,39.465329632,31.70610790703905
87.33560719,37.93396994,97.3502841,3,43.11447841,12.54801339,91.79517327,1,1,10,1,78.78605314,13.811207030567573,36.013663474,11.859215090227192,93.14629049599999,26.02832552582386,53.349103574599994,29.660631059195623,26.305871838,7.7648925259094135,38.655060974,29.905688145100353
34.36328326,22.5468972,29.23286484,2,8.798448338,18.33352898,55.55833555,2,1,11,1,67.44539356,22.036992055286245,32.452899872,12.861886712262049,81.01348877,38.88520862158596,37.5191560862,27.630329098862266,23.858161522,8.008987273467634,43.93783769,30.1377300585873
38.37844671,32.37015926,94.98745712,0,88.54544763,49.59049442,100.59654,2,1,12,1,63.954364492,25.454042510394974,29.698858243999997,10.44567938708736,89.66896371200001,35.39150227443947,40.8930035942,33.2934085064293,27.626649199999996,14.144348003108886,59.905444878000004,35.46560212271925
101.755656,40.13414437,90.66167675,0,13.18779381,45.42327102,29.38209502,0,1,13,1,68.783792608,30.485726344283286,34.624275402,7.460533147136021,83.419049022,30.72599471948294,32.7253538322,34.261325214678166,31.100968639999998,16.251422600443984,61.10785080600001,33.98840893275475
